INSERT INTO EmployeeBranch VALUES(1,23);

INSERT INTO EmployeeBranch VALUES(2,15);

INSERT INTO EmployeeBranch VALUES(3,3);

INSERT INTO EmployeeBranch VALUES(4,11);

INSERT INTO EmployeeBranch VALUES(5,20);

INSERT INTO EmployeeBranch VALUES(6,11);

INSERT INTO EmployeeBranch VALUES(7,15);

INSERT INTO EmployeeBranch VALUES(8,1);

INSERT INTO EmployeeBranch VALUES(9,10);

INSERT INTO EmployeeBranch VALUES(10,15);

INSERT INTO EmployeeBranch VALUES(11,19);

INSERT INTO EmployeeBranch VALUES(12,22);

INSERT INTO EmployeeBranch VALUES(13,11);

INSERT INTO EmployeeBranch VALUES(14,2);

INSERT INTO EmployeeBranch VALUES(15,6);

INSERT INTO EmployeeBranch VALUES(16,17);

INSERT INTO EmployeeBranch VALUES(17,1);

INSERT INTO EmployeeBranch VALUES(18,20);

INSERT INTO EmployeeBranch VALUES(19,8);

INSERT INTO EmployeeBranch VALUES(20,4);

INSERT INTO EmployeeBranch VALUES(21,13);

INSERT INTO EmployeeBranch VALUES(22,11);

INSERT INTO EmployeeBranch VALUES(23,3);

INSERT INTO EmployeeBranch VALUES(24,5);

INSERT INTO EmployeeBranch VALUES(25,16);

INSERT INTO EmployeeBranch VALUES(26,13);

INSERT INTO EmployeeBranch VALUES(27,4);

INSERT INTO EmployeeBranch VALUES(28,21);

INSERT INTO EmployeeBranch VALUES(29,19);

INSERT INTO EmployeeBranch VALUES(30,18);

INSERT INTO EmployeeBranch VALUES(31,19);

INSERT INTO EmployeeBranch VALUES(32,11);

INSERT INTO EmployeeBranch VALUES(33,22);

INSERT INTO EmployeeBranch VALUES(34,22);

INSERT INTO EmployeeBranch VALUES(35,9);

INSERT INTO EmployeeBranch VALUES(36,4);

INSERT INTO EmployeeBranch VALUES(37,16);

INSERT INTO EmployeeBranch VALUES(38,19);

INSERT INTO EmployeeBranch VALUES(39,6);

INSERT INTO EmployeeBranch VALUES(40,15);

INSERT INTO EmployeeBranch VALUES(41,1);

INSERT INTO EmployeeBranch VALUES(42,21);

INSERT INTO EmployeeBranch VALUES(43,16);

INSERT INTO EmployeeBranch VALUES(44,16);

INSERT INTO EmployeeBranch VALUES(45,3);

INSERT INTO EmployeeBranch VALUES(46,7);

INSERT INTO EmployeeBranch VALUES(47,17);

INSERT INTO EmployeeBranch VALUES(48,9);

INSERT INTO EmployeeBranch VALUES(49,22);

INSERT INTO EmployeeBranch VALUES(50,16);
